SognName,SognDigDagID,AmtName,AmtDigDagID,StartDate,EndDate
Sønder Kirkeby Sogn,114796,Maribo Amt,118799,1803-05-25,1950-01-01
Randerup Sogn,113876,Ribe Amt,118855,1750-01-01,1950-01-01
Sønder Vium Sogn,114808,Ringkøbing Amt,118853,1750-01-01,1950-01-01
Trinitatis Sogn,114898,Københavns Amt,118762,1750-01-01,1838-07-02
Trinitatis Sogn,114898,Staden København,370922,1838-07-02,1950-01-01
Sønder Lem Sogn,114798,Ringkøbing Amt,118853,1750-01-01,1950-01-01
Sønder Årslev Sogn,114809,Århus Amt,118846,1750-01-01,1950-01-01
Tunø Sogn,114906,Århus Amt,118846,1750-01-01,1950-01-01
Sønderho Sogn,114813,Ribe Amt,118855,1750-01-01,1950-01-01
Søstrup Sogn,114824,Holbæk Amt,118775,1750-01-01,1801-08-27
Søstrup Sogn,114824,Holbæk Amt,118779,1801-08-27,1950-01-01
Teestrup Sogn,114832,Sorø Amt,118785,1750-01-01,1950-01-01
Thisted Sogn,114838,Thisted Amt,118826,1750-01-01,1950-01-01
Tillitse Sogn,114851,Halsteds Klosters Amt,118796,1750-01-01,1803-05-25
Tillitse Sogn,114851,Maribo Amt,118799,1803-05-25,1950-01-01
Ting Jellinge Sogn,114857,Sorø Amt,118785,1750-01-01,1950-01-01
Tilst Sogn,114852,Århus Amt,118846,1750-01-01,1950-01-01
Tjæreby Sogn,114868,Sorø Amt,118785,1750-01-01,1950-01-01
Torrild Sogn,114880,Århus Amt,118846,1750-01-01,1950-01-01
Trans Sogn,114893,Ringkøbing Amt,118853,1750-01-01,1950-01-01
Trige Sogn,114896,Århus Amt,118846,1750-01-01,1950-01-01
Tureby Sogn,114907,Tryggevælde Amt,118786,1750-01-01,1803-05-25
Tureby Sogn,114907,Præstø Amt,118791,1803-05-25,1950-01-01
Tved Sogn,114911,Thisted Amt,118826,1750-01-01,1950-01-01
Tvenstrup Sogn,114915,Århus Amt,118846,1750-01-01,1950-01-01
Tversted Sogn,114916,Hjørring Amt,118820,1750-01-01,1950-01-01
Tømmerup Sogn,114929,Kalundborg Amt,118772,1750-01-01,1801-08-27
Tømmerup Sogn,114929,Holbæk Amt,118779,1801-08-27,1950-01-01
Tybjerg Sogn,114920,Vordingborg Amt,118787,1750-01-01,1803-05-25
Tybjerg Sogn,114920,Præstø Amt,118791,1803-05-25,1950-01-01
Tæbring Sogn,114925,Thisted Amt,118826,1750-01-01,1950-01-01
Tødsø Sogn,114926,Thisted Amt,118826,1750-01-01,1950-01-01
Tøndering Sogn,114930,Viborg Amt,118830,1750-01-01,1950-01-01
Tårnby Sogn,114941,Tryggevælde Amt,118786,1750-01-01,1803-05-25
Tårnby Sogn,114941,Præstø Amt,118791,1803-05-25,1950-01-01
Tåstrup Nykirke Sogn,114945,Præstø Amt,118791,1750-01-01,1950-01-01
Udby Sogn,114949,Vordingborg Amt,118787,1750-01-01,1803-05-25
Udby Sogn,114949,Præstø Amt,118791,1803-05-25,1950-01-01
Ugerløse Sogn,114953,Holbæk Amt,118775,1750-01-01,1801-08-27
Ugerløse Sogn,114953,Holbæk Amt,118779,1801-08-27,1950-01-01
Uggerby Sogn,114955,Hjørring Amt,118820,1750-01-01,1950-01-01
Uggerslev Sogn,114956,Odensegård Amt,118800,1750-01-01,1809-05-01
Uggerslev Sogn,114956,Odense Amt,118809,1809-05-01,1950-01-01
Uvelse Sogn,114977,Frederiksborg Amt,118766,1750-01-01,1805-03-20
Uvelse Sogn,114977,Frederiksborg Amt,118771,1805-03-20,1950-01-01
Valby Sogn,114979,Kronborg Amt,118765,1750-01-01,1805-03-20
Valby Sogn,114979,Frederiksborg Amt,118771,1805-03-20,1950-01-01
Vallensbæk Sogn,114982,Københavns Amt,118762,1750-01-01,1950-01-01
Vallekilde Sogn,114981,Dragsholm Amt,118774,1750-01-01,1801-08-27
Vallekilde Sogn,114981,Holbæk Amt,118779,1801-08-27,1950-01-01
Vandborg Sogn,114989,Ringkøbing Amt,118853,1750-01-01,1950-01-01
